number components; knn; acc score; f1 score; roc score; time
16,0000;16,0000;0,0272;0,0345;0,0265;1,1390
16,0000;17,0000;0,0325;0,0391;0,0318;1,7516
16,0000;18,0000;0,0269;0,0312;0,0263;1,2847
16,0000;19,0000;0,0266;0,0316;0,0261;1,3742
16,0000;20,0000;0,0285;0,0318;0,0280;1,1374
16,0000;21,0000;0,0232;0,0254;0,0228;1,0987
16,0000;22,0000;0,0336;0,0392;0,0330;1,2534
16,0000;23,0000;0,0261;0,0302;0,0256;1,2375
16,0000;24,0000;0,0285;0,0321;0,0280;1,1490
16,0000;25,0000;0,0263;0,0284;0,0260;0,9954
17,0000;1,0000;0,0328;0,0488;0,0326;2,3201
17,0000;2,0000;0,0308;0,0330;0,0306;7,7146
17,0000;3,0000;0,0301;0,0342;0,0297;5,9784
17,0000;4,0000;0,0324;0,0377;0,0318;5,0695
17,0000;5,0000;0,0279;0,0317;0,0275;4,7225
17,0000;6,0000;0,0288;0,0345;0,0282;4,3530
17,0000;7,0000;0,0230;0,0280;0,0225;3,7035
17,0000;8,0000;0,0290;0,0349;0,0284;2,7741
17,0000;9,0000;0,0282;0,0344;0,0276;2,7849
17,0000;10,0000;0,0278;0,0345;0,0271;2,6737
17,0000;11,0000;0,0227;0,0270;0,0223;2,6045
17,0000;12,0000;0,0251;0,0287;0,0246;1,9159
17,0000;13,0000;0,0298;0,0364;0,0291;2,0681
17,0000;14,0000;0,0243;0,0293;0,0237;1,6087
17,0000;15,0000;0,0253;0,0300;0,0248;1,9247
17,0000;16,0000;0,0276;0,0325;0,0270;1,3775
17,0000;17,0000;0,0353;0,0423;0,0346;1,7162
17,0000;18,0000;0,0312;0,0387;0,0304;1,1299
17,0000;19,0000;0,0294;0,0340;0,0289;1,2383
17,0000;20,0000;0,0241;0,0270;0,0236;1,3565
17,0000;21,0000;0,0264;0,0306;0,0259;1,0907
17,0000;22,0000;0,0267;0,0299;0,0263;1,2610
17,0000;23,0000;0,0278;0,0319;0,0273;1,1957
