knn,comp,acc,f_score,roc,time
9,1,0.5949,0.6159,0.594,7.6811
9,1,0.6058,0.6197,0.6053,6.647
9,1,0.573,0.5836,0.5727,6.402
9,1,0.5438,0.5552,0.5435,5.562
9,1,0.573,0.5866,0.5725,9.8229
9,1,0.6131,0.6131,0.6134,3.897
9,1,0.5219,0.5404,0.5213,4.3921
9,1,0.5511,0.5914,0.5492,8.148
9,1,0.6095,0.6397,0.6079,9.0541
9,1,0.5766,0.6159,0.5747,7.253
9,1,0.6022,0.6036,0.6024,9.022
9,1,0.5803,0.5878,0.5802,6.8339
9,1,0.5985,0.6099,0.5982,5.648
9,1,0.5584,0.5632,0.5584,4.756
9,1,0.5985,0.6233,0.5974,3.937
9,1,0.573,0.5745,0.5732,7.9514
9,1,0.6058,0.6115,0.6058,10.132
9,1,0.5985,0.5703,0.6003,3.761
9,1,0.5803,0.5936,0.5799,5.528
9,1,0.5438,0.552,0.5437,4.372
9,1,0.6131,0.6294,0.6125,4.3401
9,1,0.5401,0.5909,0.5377,7.616
9,1,0.5584,0.5898,0.557,9.787
9,1,0.5839,0.587,0.5841,5.912
9,1,0.6168,0.6237,0.6167,9.4731
9,1,0.5985,0.6014,0.5987,10.793
9,1,0.573,0.5923,0.5722,13.851
9,1,0.5839,0.6096,0.5828,6.987
10,1,0.646,0.6523,0.6459,5.872
10,1,0.5949,0.6212,0.5937,4.724
10,1,0.5766,0.6054,0.5753,4.418
10,1,0.5876,0.6117,0.5865,6.0006
10,1,0.5584,0.5724,0.5579,4.322
10,1,0.5401,0.5191,0.5414,7.94
10,1,0.5474,0.5664,0.5467,7.46
10,1,0.5876,0.6117,0.5865,11.4259
10,1,0.5949,0.5904,0.5954,10.0808
10,1,0.6387,0.6374,0.6391,7.192
10,1,0.5182,0.5111,0.5188,10.097
10,1,0.573,0.5714,0.5733,6.5391
10,1,0.6168,0.6441,0.6154,9.896
10,1,0.573,0.5952,0.5721,6.0121
10,1,0.562,0.5714,0.5618,8.0609
10,1,0.5474,0.5782,0.5461,4.929
10,1,0.6131,0.6345,0.6122,4.1399
10,1,0.5766,0.5735,0.5771,8.86
10,1,0.6204,0.6364,0.6198,6.479
10,1,0.5584,0.5502,0.5591,8.02
10,1,0.635,0.6296,0.6357,4.009
10,1,0.5584,0.5724,0.5579,8.372
10,1,0.5146,0.5199,0.5146,5.197
10,1,0.5766,0.5857,0.5764,5.25
10,1,0.5876,0.6035,0.587,8.426
10,1,0.5584,0.5813,0.5575,5.675
10,1,0.5912,0.5912,0.5915,6.732
10,1,0.5839,0.62,0.5821,6.006
10,1,0.5985,0.6071,0.5983,7.889
10,1,0.5985,0.6014,0.5987,5.496
10,1,0.5876,0.5921,0.5876,6.797
